TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
FUENTES,FUE_01_0079,"CENTRO, Pº VIRGEN DEL PUERTO, 1 ",C/V GLORIETA DE SAN VICENTE,40.4196034,-3.7199109
FUENTES,FUE_01_0080,"CENTRO, PLAZA DEL REY",CALLE BARQUILLO 'FRENTE Nº 6-8,40.420101,-3.695793
FUENTES,FUE_01_0081,"CENTRO, PLAZA CONDE DE TORENO 1",C/V CALLE REYES,40.4243663,-3.7091785
FUENTES,FUE_01_0082,"CENTRO, CALLE AMANIEL 10",C/V TRAVESÍA CONDE DUQUE,40.4257768,-3.7093502
FUENTES,FUE_01_0083,"CENTRO, CALLE MAYOR 32",C/V BORDADORES,40.4161874,-3.7078227
FUENTES,FUE_01_0084,"CENTRO, PLAZA DE SANTIAGO 4",C/V SANTA CLARA,40.4167042,-3.7108142
FUENTES,FUE_01_0085,"CENTRO, CALLE ALCALÁ, 7",JUNTO CANALEJAS,40.4173884,-3.7013164
FUENTES,FUE_01_0086,"CENTRO, CALLE MAESTRO GUERRERO 8A",C/V DOS AMIGOS,40.4244243,-3.7107103
FUENTES,FUE_01_0087,"CENTRO, CALLE LIBREROS 1",FRENTE Nº 4 C/V FLOR ALTA,40.421459,-3.7067995
FUENTES,FUE_01_0088,"CENTRO, CALLE HORTALEZA 37",C/V CALLE PÉREZ GALDÓS,40.4222757,-3.6996999
FUENTES,FUE_01_0089,"CENTRO, CALLE CRUZ VERDE 16",C/V TRAV. CRUZ VERDE,40.4238529,-3.7071189
FUENTES,FUE_01_0090,"CENTRO, CALLE SAN BERNARDO 55",C/V CALLE ESPIRITU SANTO,40.4257768,-3.7071624
FUENTES,FUE_01_0091,"CENTRO, CALLE RASTRILLO 1",C/V CALLE ESPIRITU SANTO,40.4253847,-3.7038411
FUENTES,FUE_01_0092,"CENTRO, GLORIETA EMBAJADORES, 1",GLORIETA EMBAJADORES FAROLA 29 C/V CALLE EMBAJADORES.,40.4055135,-3.702708
FUENTES,FUE_01_0093,"CENTRO,  CUESTA SANTO DOMINGO 12",C/V CAMPOMANES,40.4196945,-3.7092889
FUENTES,FUE_01_0094,"CENTRO, PLAZA ENCARNACION 2",C/V CALLE DE LA ENCARNACIÓN,40.4197325,-3.711001
FUENTES,FUE_01_0095,"CENTRO, CALLE TOLEDO, 61 C/V C/ SAN MILLÁN",PLAZA DE LA CEBADA,40.4112274,-3.7080417
FUENTES,FUE_01_0096,"CENTRO, CALLE PRECIADOS, 35",C/V CALLE TERNERA,40.4197195,-3.707154
FUENTES,FUE_01_0097,"CENTRO, PLAZA DE PONTEJOS, 2",Sin información adicional,40.4159525,-3.7043129
FUENTES,FUE_01_0098,"CENTRO, CALLE IMPERIAL, 10",Sin información adicional,40.4146248,-3.707051
FUENTES,FUE_01_0099,"CENTRO, PLAZA DE LA PAJA, 6",C/V PRÍNCIPE ANGLONÁ,40.4133528,-3.7113671
FUENTES,FUE_01_0100,"CENTRO, CALLE LAVAPIES, 19",Sin información adicional,40.4107363,-3.7026087
FUENTES,FUE_01_0101,"CENTRO, CALLE ALMUDENA, 3",C/V BAILÉN 19,40.4155965,-3.7132505
FUENTES,FUE_01_0102,"CENTRO, CALLE SAN NICOLAS, 15",FRENTE AL Nº 15,40.4166794,-3.7118789
FUENTES,FUE_01_0103,"CENTRO, PLAZA DEL BIOMBO, 1",C/V CALLE CALDERÓN DE LA BARCA,40.4159043,-3.7112133
FUENTES,FUE_01_0104,"CENTRO, CALLE GRAFAL, 10",FRENTE Nº 10 C/V SAN BRUNO,40.4130361,-3.7082475
FUENTES,FUE_01_0105,"CENTRO, CALLE TAMAYO Y BAUS, 5",C/V CALLE MARQUES DEL MONASTERIO,40.4229473,-3.6931666
FUENTES,FUE_01_0106,"CENTRO, CALLE FUENCARRAL, 43",Sin información adicional,40.4231172,-3.7008449
FUENTES,FUE_01_0107,"CENTRO, PLAZA DE SAN MARTIN, 1",Sin información adicional,40.4182315,-3.7070148
FUENTES,FUE_01_0108,"CENTRO, CALLE AVE MARIA, 34",Sin información adicional,40.4102805,-3.7010119
