,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
28,Templos,Iglesia San Antonio de los Alemanes,CALLE CORREDERA BAJA DE SAN PABLO 16.0,MonumentosEdificiosArtisticos,40.42265490186256,-3.703498161168639
29,Templos,Iglesia San José de la Montaña,CALLE FERNANDEZ DE LA HOZ 16.0,TemplosIglesiasCatolicas,40.43110799341,-3.695036287674311
30,Templos,Iglesia San Pedro el Viejo,CALLE NUNCIO 14.0,MonumentosEdificiosArtisticos,40.413210155345766,-3.7099876453523866
31,Templos,Monasterio de la Inmaculada y San Pascual (Clarisas),PASEO RECOLETOS 11.0,TemplosIglesiasCatolicas,40.42115211611733,-3.692841011965799
32,Templos,Monasterio de la Santísima Trinidad y de San Ildefonso (Trinitarias),CALLE LOPE DE VEGA 18.0,MonumentosEdificiosArtisticos,40.41367254153843,-3.6976792276700983
33,Templos,Monasterio de Nuestra Señora de las Maravillas (Carmelitas Calzadas de la antigua observancia),CALLE PRINCIPE DE VERGARA 23.0,TemplosIglesiasCatolicas,40.42547662286892,-3.6803311229580142
34,Templos,Monasterio de San Plácido (Benedictinas),CALLE SAN ROQUE 9.0,MonumentosEdificiosArtisticos,40.42282192627356,-3.704504711717618
35,Templos,Monasterio del Corpus Christi (Jerónimas 'Carboneras'),PLAZA CONDE DE MIRANDA 3.0,MonumentosEdificiosArtisticos,40.41475533272026,-3.709820369125855
37,Templos,Oratorio de la Hospitalidad de Nuestra Señora de Lourdes,CALLE FORTUNY 21.0,TemplosIglesiasCatolicas,40.430192969178,-3.690959673823567
38,Templos,Oratorio San Felipe Neri,CALLE ANTONIO ARIAS 17.0,TemplosIglesiasCatolicas,40.41613269752756,-3.6714727599768513
43,Templos,Parroquia Beata María Ana de Jesús,CALLE GUILLERMO DE OSMA 10.0,TemplosIglesiasCatolicas,40.3940038661772,-3.6970397447986025
47,Templos,Parroquia Concepción de Nuestra Señora,CALLE GOYA 26.0,TemplosIglesiasCatolicas,40.42495800506551,-3.6822213540761775
57,Templos,Parroquia El Salvador y San Nicolás,CALLE ATOCHA 58.0,TemplosIglesiasCatolicas,40.41206827888049,-3.698819945559317
69,Templos,Parroquia Los Doce Apóstoles,CALLE VELAZQUEZ 88.0,TemplosIglesiasCatolicas,40.43212167528803,-3.6833570545793455
71,Templos,Parroquia María Auxiliadora,RONDA ATOCHA 25.0,TemplosIglesiasCatolicas,40.40653095707973,-3.696549886772587
78,Templos,Parroquia Nuestra Madre del Dolor,AVENIDA TOREROS 45.0,TemplosIglesiasCatolicas,40.43244949083442,-3.666650700687376
84,Templos,Parroquia Nuestra Señora de Covadonga,CALLE FRANCISCO SILVELA 2.0,TemplosIglesiasCatolicas,40.42882028889333,-3.6691307704102902
85,Templos,Parroquia Nuestra Señora de Europa,PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS 23.0,TemplosIglesiasCatolicas,40.401561268023,-3.707087679377704
89,Templos,Parroquia Nuestra Señora de la Consolación,CALLE JUAN ESPLANDIU 2.0,TemplosIglesiasCatolicas,40.41589440293688,-3.6651928479923983
90,Templos,Parroquia Nuestra Señora de la Estrella,CALLE LIRA 4.0,TemplosIglesiasCatolicas,40.40832664939234,-3.6695254032917135
99,Templos,Parroquia Nuestra Señora de la Paz,CALLE VALDERRIBAS 37.0,TemplosIglesiasCatolicas,40.40485418923655,-3.676198602714417
105,Templos,Parroquia Nuestra Señora de las Angustias,CALLE RAFAEL DE RIEGO 16.0,TemplosIglesiasCatolicas,40.404513321126586,-3.6922088887788256
106,Templos,Parroquia Nuestra Señora de las Delicias,PASEO DELICIAS 61.0,TemplosIglesiasCatolicas,40.40029003332906,-3.6938050319544646
113,Templos,Parroquia Nuestra Señora de los Ángeles,CALLE BRAVO MURILLO 93.0,TemplosIglesiasCatolicas,40.445836774693575,-3.704184722308509
116,Templos,Parroquia Nuestra Señora de los Dolores,CALLE SAN BERNARDO 103.0,TemplosIglesiasCatolicas,40.43115695362478,-3.7054523141302185
122,Templos,Parroquia Nuestra Señora del Buen Consejo y San Isidro,CALLE TOLEDO 37.0,MonumentosEdificiosArtisticos,40.412971157638985,-3.707369400972756
125,Templos,Parroquia Nuestra Señora del Carmen y San Luis Obispo,CALLE CARMEN 10.0,TemplosIglesiasCatolicas,40.41820834788744,-3.7040397886031022
130,Templos,Parroquia Nuestra Señora del Henar,CALLE AGUSTIN DURAN 20.0,TemplosIglesiasCatolicas,40.43645204220764,-3.6734240892953007
131,Templos,Parroquia Nuestra Señora del Perpetuo Socorro,CALLE MANUEL SILVELA 14.0,TemplosIglesiasCatolicas,40.43018988613746,-3.6989360511918186
132,Templos,Parroquia Nuestra Señora del Pilar. Calle Juan Bravo,CALLE JUAN BRAVO 40.0,TemplosIglesiasCatolicas,40.43242564700386,-3.678246230346705
139,Templos,Parroquia Nuestra Señora del Rosario de Filipinas,CALLE CONDE DE PE&amp;Ntilde;ALVER 40.0,TemplosIglesiasCatolicas,40.42922287524457,-3.675132370930213
144,Templos,Parroquia Nuestra Señora del Valle,CALLE VALDERRIBAS 72.0,TemplosIglesiasCatolicas,40.40202748234508,-3.670353772978105
146,Templos,Parroquia Nuestra Señora Reina del Cielo,PASAJE CAN MENOR 5.0,TemplosIglesiasCatolicas,40.4127449606682,-3.666813444310057
152,Templos,Parroquia Purísimo Corazón de María,CALLE EMBAJADORES 81.0,TemplosIglesiasCatolicas,40.40215217974204,-3.700042548658745
154,Templos,Parroquia Sagrada Familia,CALLE ANTONIO TOLEDANO 23.0,TemplosIglesiasCatolicas,40.42382904749136,-3.6667855547624497
