Distrito,Apartado,Número de archivo,Situación Destino,Destino,Solar
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.38,CALLE DE LA ISLA DE OZA NUM 61,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA UNACASETA DE PERSONAL Y ALMACÉN Y PARTE DE LA IDB SINESIO DELGADO (PISTA DE FÚTBOL SALA, PISTA DEVOLEIBOL, 2 PISTAS DE PATINAJE Y TENIS DE MESA).",6250.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.381,CALLE DE LA PINILLA NUM 79,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1306.91 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.382,CALLE DE LA LA PINILLA NUM 36,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2166.03 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.383,CALLE DE LA BRÚJULA C/V C/ DEL ESCULTOR PERESEJO NUM 64,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,13718.87 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.384,"CALLE DE LA PINILLA, FRENTE AL NUM 93",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1323.25 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.385,CALLE DE ARGENTONA NUM 21-23,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4100.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.386,CALLE DE ARGENTONA NUM 25,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2800.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.387,AVENIDA DEL TALGO NUM 159,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1240.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.388,AVENIDA DEL TALGO C/V CALLE DEL CERRO DE VALDECAHONDE,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3872.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.389,CALLE DE RAFAEL BOTÍ NUM 68,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,20602.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.39,CALLE DE RAFAEL BOTÍ NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2490.79 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.391,CALLE DE HORCHE C/V C/ DE SIGUÜENZA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,45318.59 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.392,CARRETERA DE HUMERA (FRENTE AL Nº 163),DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1903.20 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.393,CALLE VIRGEN DE LOS ROSALES S/N C/V C/ GOLONDRINA,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,972.05 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.396,CALLE DEL VALLE DE PAS NUM 4,"NO FIGURA COMO ZONA VERDE EN EL PGOUM-97, AUNQUE SI EN EL REGISTRO.",450.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.397,CALLE DE LAS ROSAS DE ARAVACA NUM 31,"NO FIGURA COMO ZONA VERDE EN EL PGOUM-97, AUNQUE SI EN EL REGISTRO.",245.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.398,CALLE DE LAS ROSAS DE ARAVACA NUM 41,"NO FIGURA COMO ZONA VERDE EN EL PGOUM-97, AUNQUE SI EN EL REGISTRO.",439.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.399,CALLE DEL VALLE DEL PAS NUM 36,"NO FIGURA COMO ZONA VERDE EN EL PGOUM-97, AUNQUE SI EN EL REGISTRO.",185.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.404,GLORIETA DE SAN ANTONIO DE LA FLORIDA C/V C/ DE MOZART,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,4194.10 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.409,CALLE DE RAFAEL VILLA NUM 74,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA LAINSTALACIÓN DEPORTIVA BÁSICA EL PLANTÍO-RAFAEL VILLA (PISTA DE BALONCESTO), SITUADA EN LA CALLERAFAEL VILLA Nº 74.",1146.78 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.411,CALLE DEL CARRIL DE LOS CALEROS NUM 2,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,20938.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.412,PASEO DEL REY NUM 36,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. EN SU PERÍMETRO SE ENCUENTRA UBICADO EL CENTROABIERTO CALATRAVA(ANTIGUO PABELLÓN DE LA ROSA).,8205.15 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,300.413,GLORIETA DE SAN ANTONIO DE LA FLORIDA NUM 8,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRA UNCANTÓN DE LIMPIEZA.,1234.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.228,CALLE DE ANTONIO MACHADO NUM 47,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4281.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.272,CALLE SEIS DE DICIEMBRE NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2160.09 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.273,CALLE ROSA DE LUXEMBURGO NUM 56,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1161.70 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.274,CALLE ROSA DE LUXEMBURGO NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1423.30 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.275,CALLE ROSA DE LUXEMBURGO NUM 10,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,8608.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.276,AVENIDA PABLO IGLESIAS NUM 35 A,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,909.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.277,CALLE CABELLERA DE BERENICE NUM 41,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,4663.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.278,CALLE PICO DE LA GOLONDRINA(ENTRE Cº ZARZUELA-C/SALLE),DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,6801.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.279,CALLE DE LA CABELLERA DE BERENICE NUM 57-61,,1550.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.28,CALLE CABELLERA DE BERENICE NUM 60,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,681.00 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.281,CALLE CASIOPEA NUM 16,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,2349.27 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.282,CALLE CASIOPEA NUM 14,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1267.81 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.283,AVENIDA SANTO ÁNGEL DE LA GUARDA NUM 23,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,17104.09 m2
MONCLOA-ARAVACA,PARQUES Y JARDINES,301.284,CALLE GENERAL CADENAS CAMPOS NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,1094.01 m2
