,TIPO,NOMBRE,DIRECCION,DESCRIPCION,LATITUD,LONGITUD
549,Monumentos,Miradores parque Enrique Tierno Galván,No disponible,Edificación singular,40.390326134927626,-3.681720578008099
550,Monumentos,Monasterio de Santa Clara,C Santiago 24,"Elemento conmemorativo, Lápida",40.4167694386125,-3.71134872818348
551,Monumentos,Monolito a Diego Velázquez,Pza Ramales N/A o N/D,"Elemento conmemorativo, Lápida",40.41693791531057,-3.711786621059892
552,Monumentos,Monolito Recoletos,Pº Recoletos N/A o N/D,"Elemento conmemorativo, Lápida",40.41993434556376,-3.6930996314679057
553,Monumentos,Monolitos Escuela Superior de Ingenieros de Minas,CALLE RIOS ROSAS 21,"Elemento conmemorativo, Lápida",40.44209227424258,-3.700373464615154
554,Monumentos,Montaña Artificial del Retiro,Pº Duque de Fernán Núñez N/A o N/D,Edificación singular,40.42110795674615,-3.680557750730097
555,Monumentos,Mujer con Espejo,PLAZA COLON 1,Escultura conceptual o abstracta,40.42501572775871,-3.6911744065568346
556,Monumentos,Mujer sedente,No disponible,Estatua,40.41629279661326,-3.6873809848930135
557,Monumentos,Muralla islámica,Pza Emir Mohamed I N/A o N/D,"Puente, construcción civil",40.41490235415369,-3.7146293213905
558,Monumentos,Murillo,Pza Murillo N/A o N/D,Estatua,40.41263438787084,-3.6920346819612826
559,Monumentos,Muro con escudo,CALLE CEA BERMUDEZ 4,Elemento de ornamentación,40.43887785894847,-3.70628197176681
560,Monumentos,Museo de los Toreros,C Alcalá 231,"Elemento conmemorativo, Lápida",40.432892448208754,-3.663392717126365
561,Monumentos,Muñoz Degraín,Pº Recoletos 20,Estatua,40.42433129513563,-3.689997290012694
562,Monumentos,Mártires San Fermín de los Navarros,PASEO EDUARDO DATO 10,"Elemento conmemorativo, Lápida",40.432762649724616,-3.6925645066550974
563,Monumentos,Mère Ubu,Pº Castellana 41,Escultura conceptual o abstracta,40.43290487323514,-3.6874793765874103
564,Monumentos,Móvil,Pº Castellana 41,Escultura conceptual o abstracta,40.43298672063512,-3.687350522377781
